QuerySId;SessionSId;UserSId;NoP;NoS;NoA;NoT;NoAtt;NCP;NCS;NCA;NCT;NCAtt;zNoP;zNoS;zNoA;zNoT;zNoAtt;zNCP;zNCF;zNCA;zNCT;zNCAtt;RED;Edit index;Jaccard index;Cosine index;Common fragments index;Common tables index;Vote;ExplorationSId;GroundTruth;ChangeSession
437;9;3;6;7;2;5;14;5;6;2;4;11;2.092650786;0.604168694;1.107176568;1.723178163;1.923857836;1.306579457;0.733462277;1.206826197;0.892315358;1.098771396;3;0.7;0.85;0.995860377632272;1;0.8;0;10;0;0
438;9;3;5;6;2;4;11;5;6;2;4;11;1.212371667;0.604168694;1.107176568;0.721008415;0.931522614;1.306579457;0.733462277;1.206826197;0.892315358;1.098771396;3;0.7;0.85;0.995860377632272;1;0.8;0;10;0;0
439;9;3;6;7;2;5;14;5;6;2;4;11;2.092650786;0.604168694;1.107176568;1.723178163;1.923857836;1.306579457;0.733462277;1.206826197;0.892315358;1.098771396;3;0.7;0.85;0.995860377632272;1;0.8;0;10;0;0
440;9;3;5;3;2;4;11;5;3;2;4;11;1.212371667;-0.482180492;1.107176568;0.721008415;0.931522614;1.306579457;-0.442326484;1.206826197;0.892315358;1.098771396;6;0.4;0.7;0.950932965183932;1;0.8;1;10;0;0
441;9;3;5;3;2;4;11;5;3;2;4;11;1.212371667;-0.482180492;1.107176568;0.721008415;0.931522614;1.306579457;-0.442326484;1.206826197;0.892315358;1.098771396;0;1;1;1;1;0.8;0;10;0;0
442;9;3;5;7;2;4;11;5;3;2;4;11;1.212371667;0.966285089;1.107176568;0.721008415;0.931522614;1.306579457;-0.442326484;1.206826197;0.892315358;1.098771396;4;0.6;0.777777777777778;0.949157995752499;1;0.8;0;10;0;0
443;9;3;4;7;1;4;10;4;7;1;4;10;0.332092548;0.966285089;-0.575946454;0.721008415;0.600744206;0.595068306;1.125391865;-0.249101305;0.892315358;0.813545497;2;0.8;0.888888888888889;0.937130502882652;1;0.8;0;10;0;0
444;9;3;4;7;1;4;10;4;7;1;4;10;0.332092548;0.966285089;-0.575946454;0.721008415;0.600744206;0.595068306;1.125391865;-0.249101305;0.892315358;0.813545497;0;1;1;1;1;0.8;0;10;0;0
445;9;3;4;7;1;4;10;4;7;1;4;10;0.332092548;0.966285089;-0.575946454;0.721008415;0.600744206;0.595068306;1.125391865;-0.249101305;0.892315358;0.813545497;0;1;1;1;1;0.8;0;10;0;0
446;9;3;4;7;1;4;10;4;7;1;4;10;0.332092548;0.966285089;-0.575946454;0.721008415;0.600744206;0.595068306;1.125391865;-0.249101305;0.892315358;0.813545497;0;1;1;1;1;0.8;0;10;0;0
447;9;3;4;7;1;4;10;4;7;1;4;10;0.332092548;0.966285089;-0.575946454;0.721008415;0.600744206;0.595068306;1.125391865;-0.249101305;0.892315358;0.813545497;0;1;1;1;1;0.8;0;10;0;0
448;9;3;4;7;1;4;10;4;7;1;4;10;0.332092548;0.966285089;-0.575946454;0.721008415;0.600744206;0.595068306;1.125391865;-0.249101305;0.892315358;0.813545497;0;1;1;1;1;0.8;0;10;0;0
449;9;3;3;6;1;3;7;3;6;1;3;7;-0.548186571;0.966285089;-0.575946454;-0.281161332;-0.391591016;-0.116442845;1.125391865;-0.249101305;0.027568961;-0.0421322;3;0.7;0.8125;0.997669123862984;1;0.6;0;10;0;0
450;9;3;3;2;1;3;7;2;1;1;2;4;-0.548186571;-0.482180492;-0.575946454;-0.281161332;-0.391591016;-0.827953997;-0.442326484;-0.249101305;-0.837177437;-0.897809896;10;0;0.375;0.829882662886615;0.6;0.4;1;10;0;0
451;9;3;3;2;1;3;7;3;2;1;3;7;-0.548186571;-0.482180492;-0.575946454;-0.281161332;-0.391591016;-0.116442845;-0.442326484;-0.249101305;0.027568961;-0.0421322;0;1;1;0.975321304444756;0.9;0.6;0;10;0;0
